Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.10499999672174454,8.910058975219727,2.314466953277588,5.408250331878662,1.1873419284820557,1
0.09999999403953552,4.019219398498535,2.3128223419189453,0.81048583984375,0.8959112763404846,101
0.10499999672174454,3.428865432739258,2.316056489944458,0.40381157398223877,0.7089971303939819,201
0.125,3.2605059146881104,2.3053905963897705,0.21057768166065216,0.7445375323295593,271
0.08999999612569809,3.2231698036193848,2.3119099140167236,0.15430507063865662,0.7569549083709717,371
0.14000000059604645,3.229212999343872,2.287576198577881,0.2080998569726944,0.7335368990898132,471
0.08500000089406967,3.2299447059631348,2.310880661010742,0.21088649332523346,0.7081776261329651,541
0.07499999552965164,3.17268705368042,2.3134541511535645,0.14449529349803925,0.7147376537322998,641
0.13499999046325684,3.1033782958984375,2.2907254695892334,0.09136156737804413,0.7212912440299988,741
0.125,3.087825059890747,2.2983627319335938,0.08203396201133728,0.7074283957481384,811
0.08500000089406967,3.1122453212738037,2.3178811073303223,0.06213081255555153,0.7322332859039307,911
0.14000000059604645,3.0856828689575195,2.305673599243164,0.060932207852602005,0.7190772294998169,1011
0.06499999761581421,3.057891607284546,2.314790725708008,0.04562009125947952,0.6974806785583496,1081
0.14999999105930328,3.0680055618286133,2.2979156970977783,0.05517587438225746,0.7149141430854797,1181
0.09999999403953552,3.0648915767669678,2.311934232711792,0.04173779860138893,0.7112194895744324,1281
0.0949999988079071,3.007171154022217,2.318997859954834,0.03483463078737259,0.6533386707305908,1351
0.0949999988079071,3.0826802253723145,2.298649787902832,0.056712400168180466,0.7273179292678833,1451
0.14000000059604645,3.0459647178649902,2.305394172668457,0.03226352483034134,0.7083069682121277,1551
0.08500000089406967,3.0190351009368896,2.3025448322296143,0.028490295633673668,0.6879999041557312,1621
0.14000000059604645,3.026613712310791,2.2951138019561768,0.019788315519690514,0.7117117047309875,1721
0.11499999463558197,3.017355442047119,2.3127100467681885,0.017259588465094566,0.6873858571052551,1821
0.08500000089406967,3.0159878730773926,2.300997257232666,0.011917230673134327,0.7030735015869141,1891
0.09999999403953552,3.034060478210449,2.3134453296661377,0.010325109586119652,0.7102900147438049,1991
0.12999999523162842,3.031851291656494,2.3044207096099854,0.010010600090026855,0.7174201011657715,2091
0.11999999731779099,3.034614086151123,2.3031723499298096,0.009538225829601288,0.7219036817550659,2161
0.09999999403953552,3.027789831161499,2.298596143722534,0.008018375374376774,0.7211752533912659,2261
0.07000000029802322,3.041797161102295,2.310882806777954,0.007181710563600063,0.7237328290939331,2361
0.09999999403953552,3.018364191055298,2.313076972961426,0.005861807614564896,0.6994255185127258,2431
0.08999999612569809,3.01576566696167,2.3112916946411133,0.005594402085989714,0.698879599571228,2531
0.09999999403953552,3.0076544284820557,2.3053994178771973,0.005829371511936188,0.6964256763458252,2631
0.08999999612569809,3.017043113708496,2.306368827819824,0.005475993268191814,0.7051984071731567,2701
0.07499999552965164,2.987250328063965,2.308011531829834,0.004710519686341286,0.6745282411575317,2801
0.13499999046325684,3.0048668384552,2.299520492553711,0.00554578797891736,0.6998005509376526,2901
0.12999999523162842,3.046631336212158,2.3064262866973877,0.004323918838053942,0.7358812093734741,2971
0.10499999672174454,3.015228748321533,2.3041300773620605,0.00412655109539628,0.7069721221923828,3071
0.125,2.9757933616638184,2.3074190616607666,0.003517535049468279,0.6648567318916321,3171
0.0949999988079071,3.0072860717773438,2.303478956222534,0.0040267701260745525,0.6997805237770081,3241
0.12999999523162842,3.0077152252197266,2.3017687797546387,0.003166168462485075,0.7027801275253296,3341
0.13499999046325684,3.0025277137756348,2.3039650917053223,0.0028950958512723446,0.6956675052642822,3441
0.08999999612569809,3.017094373703003,2.3038666248321533,0.0031460197642445564,0.7100817561149597,3511
0.14999999105930328,3.0199010372161865,2.293487071990967,0.002639817539602518,0.7237741351127625,3611
0.10999999940395355,3.0047030448913574,2.304032802581787,0.002565141534432769,0.6981050968170166,3711
0.14000000059604645,3.0060267448425293,2.2981960773468018,0.002207051031291485,0.7056237459182739,3781
0.17499999701976776,2.978074550628662,2.2998087406158447,0.0027630217373371124,0.6755028963088989,3881
0.14000000059604645,2.9952869415283203,2.297067880630493,0.002420359756797552,0.6957985162734985,3981
0.11499999463558197,2.994342803955078,2.3031182289123535,0.0024643985088914633,0.6887603402137756,4051
0.10999999940395355,2.9934091567993164,2.303698778152466,0.0018335402710363269,0.6878769397735596,4151
0.14999999105930328,2.9990322589874268,2.3019156455993652,0.002177686430513859,0.6949388980865479,4251
0.125,3.025010108947754,2.305032253265381,0.003069811500608921,0.7169080972671509,4321
0.12999999523162842,2.9985954761505127,2.3017914295196533,0.0020000033546239138,0.6948038935661316,4421
0.09999999403953552,2.973647117614746,2.3027429580688477,0.001716668950393796,0.6691876649856567,4521
0.13499999046325684,3.0032284259796143,2.299887180328369,0.0018150686519220471,0.7015262246131897,4591
0.09999999403953552,3.0210838317871094,2.3040056228637695,0.0018470606300979853,0.7152311205863953,4691
0.09999999403953552,2.9799909591674805,2.3031551837921143,0.0020965246949344873,0.6747393012046814,4791
0.08999999612569809,2.998375415802002,2.3036162853240967,0.0019939716439694166,0.6927651166915894,4861
0.11999999731779099,2.991854429244995,2.3015716075897217,0.0017453912878409028,0.6885374188423157,4961
0.07000000029802322,2.9871151447296143,2.302581310272217,0.0020718423184007406,0.6824619174003601,5061
0.09999999403953552,2.9991564750671387,2.302224636077881,0.0018284510588273406,0.6951035261154175,5131
0.10999999940395355,3.0029079914093018,2.3011038303375244,0.002989626955240965,0.6988145709037781,5231
0.125,3.0168097019195557,2.2995212078094482,0.005011622793972492,0.7122769951820374,5331
